OPERADORA,ESTADO,Q5,Q7,Q7a,Q8,J1,B1_1,B1_2,C1_1,C1_2,C1_3,D1_1,D1_2,A1_1,A2_1,A2_2,A2_3,A3,E7,E8,F3,F4_1,F4_2,F4_3,G2_1,G2_2,G2_3,H1,H2,H2a,PESO,Operadoras,Estados,Churn
OI,RJ,1,49,7,2,7,8,7,7,7,7,8,8,1.0,8.0,8.0,8.0,8.0,1,8.0,1,8.0,7.0,8.0,2,1,1,3,10000,4,"3,133992759",4,17,0
OI,RJ,2,32,5,1,5,5,5,5,5,5,5,4,1.0,3.0,5.0,4.0,4.0,1,4.0,1,5.0,4.0,5.0,2,2,1,4,1200,1,"3,133992759",4,17,0
OI,RJ,1,62,8,2,2,4,3,1,2,1,5,3,1.0,3.0,3.0,5.0,5.0,1,1.0,1,2.0,2.0,2.0,1,1,1,2,999998,2,"3,133992759",4,17,1
OI,RJ,2,52,8,2,4,7,7,2,2,2,8,8,1.0,2.0,7.0,7.0,7.0,1,2.0,1,7.0,7.0,7.0,2,2,1,1,3000,2,"3,133992759",4,17,0
OI,RJ,2,50,7,1,9,10,9,7,7,8,10,10,99,99,99,99,99,1,7.0,1,8.0,10.0,10.0,2,1,1,1,999998,99,"3,133992759",4,17,0
OI,RJ,1,70,8,2,3,5,5,0,0,0,3,5,1.0,5.0,3.0,10.0,10.0,1,3.0,1,3.0,3.0,3.0,2,2,1,2,3000,2,"3,133992759",4,17,1
OI,RN,1,29,4,2,4,6,0,4,0,4,0,3,1.0,0.0,0.0,3.0,4.0,1,4.0,1,5.0,6.0,5.0,2,1,1,1,999998,3,"0,093547923",4,18,0
OI,RN,1,34,5,1,5,5,0,0,0,2,2,0,1.0,3.0,0.0,6.0,7.0,1,2.0,1,5.0,5.0,7.0,2,2,1,2,1045,1,"0,093547923",4,18,0
OI,RN,1,52,8,1,0,0,0,0,10,0,8,8,1.0,0.0,8.0,0.0,5.0,1,9.0,1,8.0,5.0,9.0,2,2,1,1,2900,2,"0,093547923",4,18,1
OI,RO,1,46,7,2,8,7,9,9,9,8,9,7,99,99,99,99,99,2,99,2,99,99,99,2,1,1,2,999999,99,"0,208631919",4,19,0
OI,RO,2,22,3,1,5,4,3,8,5,5,6,10,1.0,6.0,7.0,8.0,6.0,1,7.0,1,10.0,10.0,10.0,2,1,1,2,999999,99,"0,208631919",4,19,0
OI,SE,1,60,8,1,9,9,9,9,9,9,9,9,1.0,9.0,9.0,9.0,9.0,2,99,2,99,99,99,1,1,1,3,3000,2,"0,115610301",4,23,0
OI,TO,1,57,8,1,5,5,5,3,0,0,5,10,1.0,2.0,5.0,10.0,5.0,1,5.0,1,8.0,8.0,8.0,2,1,1,4,6000,3,"0,200930781",4,25,0
OI,TO,2,26,4,1,7,5,7,5,5,7,5,5,1.0,5.0,5.0,7.0,7.0,1,8.0,1,8.0,8.0,8.0,2,2,1,2,3000,2,"0,200930781",4,25,0
SKY,DF,1,53,8,2,5,6,8,3,3,6,9,2,99,99,99,99,99,2,99,2,99,99,99,1,2,2,1,17000,5,"0,070998408",6,5,0
SKY,DF,1,50,7,1,7,8,8,8,6,7,8,9,1.0,7.0,6.0,9.0,7.0,1,9.0,2,99,99,99,2,2,2,2,4000,2,"0,070998408",6,5,0
SKY,MA,1,30,4,1,8,9,8,8,7,9,9,8,99,99,99,99,99,1,7.0,1,7.0,7.0,7.0,2,2,2,3,3500,2,"0,099019332",6,8,0
SKY,MG,1,47,7,1,6,7,8,8,6,6,7,9,1.0,6.0,8.0,10.0,10.0,2,99,2,99,99,99,2,2,2,1,600,1,"0,105366518",6,9,0
SKY,MG,1,29,4,1,5,8,8,6,4,4,5,8,1.0,10.0,6.0,8.0,9.0,1,3.0,1,99.0,4.0,4.0,2,2,2,2,3500,2,"0,105366518",6,9,0
SKY,MG,1,47,7,1,6,7,5,5,5,5,8,4,99,99,99,99,99,1,5.0,1,8.0,8.0,8.0,1,2,2,1,999998,1,"0,105366518",6,9,0
SKY,MT,1,45,7,2,5,5,8,7,6,6,8,8,99,99,99,99,99,1,8.0,1,8.0,8.0,8.0,1,2,2,2,5000,3,"0,0548337",6,11,0
SKY,PA,1,45,7,1,5,5,5,5,8,5,6,7,1.0,10.0,6.0,8.0,8.0,1,5.0,1,5.0,0.0,7.0,2,2,2,2,7000,4,"0,123385668",6,12,0
SKY,PA,1,45,7,1,8,10,9,5,0,8,7,10,1.0,0.0,8.0,8.0,5.0,1,0.0,2,99,99,99,2,2,2,1,2500,2,"0,123385668",6,12,0
SKY,PA,2,18,3,2,8,9,7,7,6,7,10,9,1.0,7.0,8.0,8.0,9.0,1,9.0,2,99,99,99,2,2,2,2,1500,1,"0,123385668",6,12,0
SKY,SP,2,41,7,2,5,4,8,5,4,3,99,99,1.0,2.0,2.0,9.0,9.0,1,7.0,2,99,99,99,2,2,2,2,8000,4,"0,078931727",6,24,0
SKY,SP,1,54,8,1,5,5,5,6,4,5,4,4,99,99,99,99,99,1,5.0,2,99,99,99,2,2,2,1,1700,1,"0,078931727",6,24,0
SKY,SP,1,22,3,1,6,7,5,4,4,4,6,6,1.0,7.0,8.0,7.0,7.0,1,4.0,1,8.0,8.0,6.0,2,2,2,3,10000,4,"0,078931727",6,24,0
SKY,SP,1,31,5,1,10,10,0,0,0,0,0,0,99,99,99,99,99,2,99,2,99,99,99,1,2,2,2,999999,99,"0,078931727",6,24,0
TIM,AM,1,57,8,2,8,10,8,8,9,10,10,10,99,99,99,99,99,2,99,2,99,99,99,2,2,1,1,25000,5,"0,088639026",7,2,0
TIM,AM,1,34,5,2,7,9,7,8,8,5,10,8,1.0,8.0,3.0,5.0,7.0,1,7.0,1,3.0,0.0,8.0,2,2,1,2,999998,5,"0,088639026",7,2,0
TIM,BA,2,60,8,2,7,8,8,8,8,8,9,9,1.0,7.0,8.0,8.0,8.0,1,8.0,1,8.0,8.0,8.0,2,2,1,1,8000,4,"0,148083294",7,3,0
TIM,BA,1,40,6,2,8,9,7,9,8,8,6,8,1.0,9.0,8.0,9.0,8.0,2,99,2,99,99,99,2,2,2,2,3000,2,"0,148083294",7,3,0
TIM,BA,1,43,7,2,7,8,8,9,8,9,10,7,1.0,7.0,9.0,8.0,7.0,1,7.0,2,99,99,99,2,2,1,3,5000,3,"0,148083294",7,3,0
TIM,BA,1,55,8,1,7,7,7,8,7,7,7,7,99,99,99,99,99,1,7.0,2,99,99,99,1,2,1,1,10000,4,"0,148083294",7,3,0
TIM,GO,1,53,8,2,5,5,5,3,4,3,2,0,1.0,0.0,5.0,3.0,5.0,1,3.0,1,3.0,3.0,4.0,2,2,2,1,15000,5,"0,239904845",7,7,0
TIM,RJ,1,81,9,1,10,9,10,10,10,8,10,9,1.0,10.0,10.0,10.0,10.0,2,99,1,10.0,10.0,10.0,2,1,1,2,999998,2,"1,162629684",7,17,0
TIM,RJ,1,47,7,1,8,7,7,9,9,9,7,8,1.0,7.0,3.0,6.0,7.0,1,5.0,1,7.0,7.0,7.0,2,2,2,2,7000,4,"1,162629684",7,17,0
TIM,RJ,1,35,5,2,7,9,10,8,8,5,10,4,1.0,1.0,2.0,8.0,6.0,2,99,2,99,99,99,2,2,1,1,5000,3,"1,162629684",7,17,0
TIM,SP,1,66,8,2,0,0,0,0,0,0,0,8,1.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,2,2,2,1,999998,99,"1,501035493",7,24,1
VIVO,BA,1,43,7,2,5,0,0,2,2,2,0,10,99,99,99,99,99,1,5.0,2,99,99,99,2,2,1,2,5000,3,"0,668020487",9,3,0
VIVO,BA,2,60,8,1,8,7,6,7,6,7,7,8,99,99,99,99,99,1,8.0,1,8.0,10.0,10.0,2,2,1,99,999998,99,"0,668020487",9,3,0
VIVO,BA,1,25,4,2,6,8,6,6,4,5,8,10,1.0,4.0,7.0,9.0,7.0,1,1.0,1,2.0,1.0,5.0,2,2,1,3,999998,2,"0,668020487",9,3,0
VIVO,BA,1,70,8,2,8,8,8,7,7,7,9,10,99,99,99,99,99,1,6.0,1,9.0,8.0,9.0,1,2,1,1,999998,4,"0,668020487",9,3,0
VIVO,CE,1,73,9,1,4,3,4,0,2,2,10,10,1.0,0.0,0.0,10.0,8.0,1,5.0,1,8.0,10.0,10.0,2,2,1,1,2090,1,"0,665984413",9,4,0
VIVO,DF,1,54,8,2,7,6,5,8,6,7,4,7,1.0,4.0,5.0,7.0,7.0,2,99,2,99,99,99,1,2,1,1,8000,4,"0,860180898",9,5,0
VIVO,DF,1,57,8,2,5,5,3,5,5,5,2,8,1.0,2.0,5.0,10.0,8.0,1,5.0,1,10.0,10.0,10.0,1,2,1,1,999998,99,"0,860180898",9,5,0
VIVO,DF,1,52,8,1,6,7,7,10,10,10,7,7,1.0,10.0,7.0,7.0,10.0,1,10.0,1,10.0,7.0,10.0,2,1,1,1,2000,1,"0,860180898",9,5,0
VIVO,DF,2,55,8,2,6,5,99,7,7,6,99,99,99,99,99,99,99,2,99,2,99,99,99,1,2,1,2,999999,99,"0,860180898",9,5,0
VIVO,DF,1,35,5,2,8,10,10,8,8,9,10,10,1.0,5.0,9.0,6.0,7.0,1,10.0,1,9.0,10.0,8.0,1,1,1,1,5000,3,"0,860180898",9,5,0
VIVO,GO,1,22,3,2,5,5,3,1,1,6,0,0,1.0,5.0,3.0,2.0,2.0,1,0.0,1,0.0,0.0,1.0,2,2,1,3,3000,2,"0,791468434",9,7,0
